run_file,method,world,start_offset_mm,samples,run_time_s,completion_pct,line_visible_pct,roi_mean_grey,mae_mm,rmse_mm,max_abs_mm,overshoot_mm,settling_s,mean_abs_p,mean_abs_d,d_over_p_pct,cnn_latency_mean_ms,cnn_latency_p95_ms
cnnpd__baseline_run_001,CNN+PD,baseline,-15.0,488,15.648,95.456,97.131,197.798,3.9595,4.8383,15.0,4.0812,15.104,0.081055,0.014425,17.796,10.4375,11.7667
cnnpd__baseline_run_002,CNN+PD,baseline,-30.0,490,15.712,95.442,97.143,197.772,5.6225,8.3128,30.0,4.0647,15.168,0.085868,0.020336,23.682,10.5628,12.0399
cnnpd__baseline_run_003,CNN+PD,baseline,-45.0,493,15.808,95.49,97.16,197.733,7.4213,12.3582,45.0,4.1174,15.264,0.096429,0.026353,27.329,10.4114,11.9699
cnnpd__baseline_run_004,CNN+PD,baseline,0.0,486,15.584,95.378,97.119,197.725,3.431,3.7534,6.3026,6.3026,15.04,0.077299,0.009824,12.709,10.2368,11.4592
cnnpd__baseline_run_005,CNN+PD,baseline,15.0,486,15.584,95.523,97.119,197.703,5.3221,6.3832,15.0,6.3124,15.008,0.081208,0.014152,17.426,10.2994,11.7844
cnnpd__baseline_run_006,CNN+PD,baseline,30.0,485,15.552,95.401,97.113,197.483,7.1918,10.1338,30.0,6.3067,15.008,0.0936,0.020901,22.33,10.966,12.5688
cnnpd__baseline_run_007,CNN+PD,baseline,45.0,486,15.584,95.5,97.119,197.307,9.1008,14.2222,45.0,6.3559,15.008,0.109662,0.028072,25.598,10.3788,11.9008
p__baseline_run_001,P,baseline,-15.0,488,15.648,95.438,97.131,197.803,3.8683,4.8156,15.0,4.0602,15.008,0.083037,0.0,0.0,,
p__baseline_run_002,P,baseline,-30.0,490,15.712,95.419,97.143,197.773,5.478,8.3343,30.0,3.855,15.072,0.087729,0.0,0.0,,
p__baseline_run_003,P,baseline,-45.0,493,15.808,95.46,97.16,197.71,7.2005,12.3231,45.0,3.8769,15.168,0.101116,0.0,0.0,,
p__baseline_run_004,P,baseline,0.0,487,15.616,95.521,97.125,197.795,3.2932,3.622,6.2221,6.2221,14.944,0.079655,0.0,0.0,,
p__baseline_run_005,P,baseline,15.0,486,15.584,95.499,97.119,197.693,5.15,6.2782,15.0,6.202,14.912,0.085389,0.0,0.0,,
p__baseline_run_006,P,baseline,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
p__baseline_run_007,P,baseline,45.0,486,15.584,95.457,97.119,197.268,8.8807,14.1915,45.0,6.1644,14.944,0.118282,0.0,0.0,,
pd__baseline_run_001,PD,baseline,-15.0,488,15.648,95.453,97.131,197.813,3.9116,4.7929,15.0,4.2108,15.104,0.080096,0.012214,15.25,,
pd__baseline_run_002,PD,baseline,-30.0,490,15.712,95.435,97.143,197.779,5.5261,8.2349,30.0,4.1891,15.168,0.084817,0.017921,21.129,,
pd__baseline_run_003,PD,baseline,-45.0,493,15.808,95.483,97.16,197.73,7.3404,12.3095,45.0,4.2476,15.264,0.095952,0.024642,25.682,,
pd__baseline_run_004,PD,baseline,0.0,486,15.584,95.375,97.119,197.731,3.4397,3.7577,6.2374,6.2374,15.04,0.076603,0.007374,9.627,,
pd__baseline_run_005,PD,baseline,15.0,486,15.584,95.519,97.119,197.709,5.3017,6.3934,15.0,6.2578,15.008,0.079787,0.011975,15.008,,
pd__baseline_run_006,PD,baseline,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
pd__baseline_run_007,PD,baseline,45.0,486,15.584,95.502,97.119,197.313,9.0898,14.2629,45.0,6.2852,15.008,0.108138,0.025944,23.992,,
cnnpd__robust_c0010_run_004,CNN+PD,robust_c0010,30.0,485,15.552,95.401,97.113,197.483,7.1918,10.1338,30.0,6.3067,15.008,0.0936,0.020901,22.33,10.7278,13.8267
p__robust_c0010_run_004,P,robust_c0010,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0010_run_004,PD,robust_c0010,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0015_run_004,CNN+PD,robust_c0015,30.0,485,15.552,95.401,97.113,197.517,7.1918,10.1332,30.0,6.3088,15.008,0.093552,0.020912,22.353,10.8965,13.8965
p__robust_c0015_run_004,P,robust_c0015,30.0,485,15.552,95.375,97.113,197.505,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0015_run_004,PD,robust_c0015,30.0,485,15.552,95.4,97.113,197.525,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0020_run_004,CNN+PD,robust_c0020,30.0,485,15.552,95.401,97.113,197.544,7.1919,10.1336,30.0,6.3082,15.008,0.09354,0.020892,22.335,10.8253,12.7019
p__robust_c0020_run_004,P,robust_c0020,30.0,485,15.552,95.375,97.113,197.536,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0020_run_004,PD,robust_c0020,30.0,485,15.552,95.4,97.113,197.556,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0025_run_004,CNN+PD,robust_c0025,30.0,485,15.552,95.401,97.113,197.562,7.191,10.1323,30.0,6.3118,15.008,0.093549,0.020896,22.337,10.3204,11.8312
p__robust_c0025_run_004,P,robust_c0025,30.0,485,15.552,95.375,97.113,197.557,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0025_run_004,PD,robust_c0025,30.0,485,15.552,95.4,97.113,197.577,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0030_run_004,CNN+PD,robust_c0030,30.0,485,15.552,95.401,97.113,197.599,7.188,10.1313,30.0,6.3062,15.008,0.093549,0.020855,22.294,10.8648,13.1086
p__robust_c0030_run_004,P,robust_c0030,30.0,485,15.552,95.375,97.113,197.587,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0030_run_004,PD,robust_c0030,30.0,485,15.552,95.4,97.113,197.607,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0035_run_004,CNN+PD,robust_c0035,30.0,485,15.552,95.401,97.113,197.622,7.1876,10.131,30.0,6.3074,15.008,0.093546,0.020862,22.301,10.4759,12.4229
p__robust_c0035_run_004,P,robust_c0035,30.0,485,15.552,95.375,97.113,197.614,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0035_run_004,PD,robust_c0035,30.0,485,15.552,95.4,97.113,197.634,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0040_run_004,CNN+PD,robust_c0040,30.0,485,15.552,95.401,97.113,197.645,7.1876,10.1308,30.0,6.3087,15.008,0.093556,0.020841,22.277,10.3588,12.2734
p__robust_c0040_run_004,P,robust_c0040,30.0,485,15.552,95.375,97.113,197.641,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0040_run_004,PD,robust_c0040,30.0,485,15.552,95.4,97.113,197.661,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
